CardID,TerminalID,Amount,Balance,Remaining,Validity,Date,CardType,CardLimit,CardLocation,TerminalType,TerminalLocation,MerchantName,NoFraud
15454,8,5000,5000,0,1,2018-06-20 15:08:09.326,Credit,5000,47,ATM,8,B,0
90830,118,3000,1000,1000,0,2018-06-20 17:51:29.326,Debit,1000,41,POS,Internet,B,1
32656,104,1000,1000,0,1,2018-06-20 18:11:29.326,Debit,1000,43,POS,Internet,E,1
28954,41,7000,30000,23000,1,2018-06-20 18:26:29.326,Credit,30000,48,ATM,41,E,0
99335,104,5000,1000,1000,0,2018-06-20 19:31:29.326,Debit,1000,63,POS,Internet,E,1
97338,104,100,10000,9900,1,2018-06-21 02:09:49.326,Credit,10000,33,POS,Internet,E,0
58000,118,12000,20000,8000,1,2018-06-21 04:24:49.326,Credit,20000,44,POS,Internet,B,0
40583,96,4000,1000,1000,0,2018-06-21 05:48:09.326,Debit,1000,29,POS,Internet,D,1
114880,42,5000,1000,1000,0,2018-06-21 05:48:09.326,Debit,1000,46,ATM,42,E,0
63329,20,5000,1000,1000,0,2018-06-21 07:11:29.326,Debit,1000,16,ATM,20,C,1
43750,134,2000,10000,8000,1,2018-06-21 07:44:49.326,Credit,10000,4,POS,Internet,E,0
82517,17,3000,5000,2000,1,2018-06-21 10:31:29.326,Credit,5000,65,ATM,17,E,1
49066,43,5000,1000,1000,0,2018-06-21 14:58:09.326,Debit,1000,6,ATM,43,D,0
40249,87,2000,1000,1000,0,2018-06-21 17:13:09.326,Debit,1000,30,POS,Internet,E,0
21130,102,1000,1000,0,1,2018-06-21 18:53:09.326,Debit,1000,22,POS,Internet,E,1
19644,121,1000,1000,0,1,2018-06-21 19:11:29.326,Debit,1000,38,POS,Internet,A,1
105886,21,1000,1000,0,1,2018-06-21 20:14:49.326,Debit,1000,47,ATM,21,E,1
1489,14,10000,1000,1000,0,2018-06-22 03:29:49.326,Debit,1000,62,ATM,14,B,1
24404,30,4000,5000,1000,1,2018-06-22 05:24:49.326,Credit,5000,37,ATM,30,C,1
55794,134,5000,1000,1000,0,2018-06-22 06:33:09.326,Debit,1000,67,POS,Internet,E,1
12351,46,2000,1000,1000,0,2018-06-22 07:23:09.326,Debit,1000,14,ATM,46,C,1
18548,36,4000,1000,1000,0,2018-06-22 07:38:09.326,Debit,1000,3,ATM,36,E,1
87068,89,5000,20000,15000,1,2018-06-22 08:44:49.326,Credit,20000,40,POS,Internet,B,1
67808,50,3000,5000,2000,1,2018-06-22 15:41:29.326,Credit,5000,72,ATM,50,B,0
38210,14,100,10000,9900,1,2018-06-22 18:13:09.326,Credit,10000,62,ATM,14,B,0
16598,104,100,10000,9900,1,2018-06-22 23:11:29.326,Credit,10000,54,POS,Internet,E,1
84016,56,100,1000,900,1,2018-06-22 23:11:29.326,Debit,1000,14,ATM,56,E,0
36442,136,500,1000,500,1,2018-06-23 08:58:09.326,Debit,1000,46,POS,Internet,C,0
113996,106,12000,1000,1000,0,2018-06-23 09:31:29.326,Debit,1000,30,POS,Internet,D,1
86537,11,7000,10000,3000,1,2018-06-23 22:53:09.326,Credit,10000,16,ATM,11,B,1
59722,18,500,5000,4500,1,2018-06-23 23:23:09.326,Credit,5000,57,ATM,18,D,1
92063,135,2000,5000,3000,1,2018-06-24 03:34:49.326,Credit,5000,47,POS,Internet,A,0
113542,9,10000,10000,0,1,2018-06-24 05:26:29.326,Credit,10000,48,ATM,9,E,0
7807,43,12000,1000,1000,0,2018-06-24 06:21:29.326,Debit,1000,79,ATM,43,D,0
85816,53,7000,1000,1000,0,2018-06-24 07:43:09.326,Debit,1000,78,ATM,53,C,0
9706,101,4000,1000,1000,0,2018-06-26 03:53:09.326,Debit,1000,46,POS,Internet,B,1
96871,7,7000,20000,13000,1,2018-06-26 04:26:29.326,Credit,20000,52,ATM,7,C,0
65716,101,12000,1000,1000,0,2018-06-26 19:44:49.326,Debit,1000,22,POS,Internet,B,0
49719,127,500,10000,9500,1,2018-06-27 00:58:09.326,Credit,10000,35,POS,Internet,E,0
43919,129,5000,1000,1000,0,2018-06-27 05:59:49.326,Debit,1000,50,POS,Internet,B,1
24795,52,3000,30000,27000,1,2018-06-27 08:46:29.326,Credit,30000,6,ATM,52,D,0
362,124,7000,5000,5000,0,2018-06-27 12:56:29.326,Credit,5000,49,POS,Internet,C,0
64538,45,100,10000,9900,1,2018-06-27 14:36:29.326,Credit,10000,69,ATM,45,A,0
47761,111,1000,1000,0,1,2018-06-27 15:08:09.326,Debit,1000,20,POS,Internet,A,0
61477,11,3000,1000,1000,0,2018-06-27 15:28:09.326,Debit,1000,19,ATM,11,B,0
115029,21,2000,20000,18000,1,2018-06-27 16:18:09.326,Credit,20000,17,ATM,21,E,1
101352,34,5000,1000,1000,0,2018-06-27 17:54:49.326,Debit,1000,8,ATM,34,E,1
99755,23,5000,30000,25000,1,2018-06-27 18:46:29.326,Credit,30000,0,ATM,23,E,1
90967,106,10000,10000,0,1,2018-06-27 19:49:49.326,Credit,10000,16,POS,Internet,D,1
90296,5,500,1000,500,1,2018-06-28 03:21:29.326,Debit,1000,60,ATM,5,D,0
66277,15,2000,1000,1000,0,2018-06-28 03:54:49.326,Debit,1000,37,ATM,15,A,1
13054,104,5000,1000,1000,0,2018-06-28 08:19:49.326,Debit,1000,49,POS,Internet,E,0
78288,95,100,5000,4900,1,2018-06-28 10:03:09.326,Credit,5000,62,POS,Internet,A,0
28904,112,500,5000,4500,1,2018-06-28 20:03:09.326,Credit,5000,49,POS,Internet,B,0
83488,57,7000,1000,1000,0,2018-06-28 22:33:09.326,Debit,1000,24,ATM,57,B,0
92674,102,10000,20000,10000,1,2018-06-29 08:51:29.326,Credit,20000,44,POS,Internet,E,0
24505,9,3000,5000,2000,1,2018-06-29 19:06:29.326,Credit,5000,1,ATM,9,E,1
52150,141,100,1000,900,1,2018-06-29 23:33:09.326,Debit,1000,69,POS,Internet,E,0
12724,90,500,5000,4500,1,2018-06-30 00:39:49.326,Credit,5000,10,POS,Internet,A,0
6928,98,500,5000,4500,1,2018-06-30 01:46:29.326,Credit,5000,47,POS,Internet,A,1
73973,97,7000,1000,1000,0,2018-06-30 13:26:29.326,Debit,1000,16,POS,Internet,B,1
9498,35,12000,1000,1000,0,2018-06-30 14:16:29.326,Debit,1000,55,ATM,35,C,0
8418,107,500,20000,19500,1,2018-06-30 15:41:29.326,Credit,20000,14,POS,Internet,A,0
3464,10,12000,1000,1000,0,2018-07-01 07:46:29.326,Debit,1000,26,ATM,10,D,0
